@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/31/16 at 12:49:49 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
  3.38153E+01  1.65824E+02  1.31547E+01
  3.40645E+01  1.65668E+02  1.31497E+01
  3.43137E+01  1.65325E+02  1.31375E+01
  3.45629E+01  1.69997E+02  1.33196E+01
  3.48120E+01  1.65242E+02  1.31365E+01
  3.50612E+01  1.59290E+02  1.29034E+01
  3.53104E+01  1.50262E+02  1.25408E+01
  3.55596E+01  1.45150E+02  1.23311E+01
  3.58088E+01  1.42955E+02  1.22405E+01
  3.60580E+01  1.44532E+02  1.23075E+01
  3.63071E+01  1.36629E+02  1.19747E+01
  3.65563E+01  1.48374E+02  1.24688E+01
  3.68055E+01  1.36148E+02  1.19561E+01
  3.70547E+01  1.28765E+02  1.16359E+01
  3.73039E+01  1.23414E+02  1.13984E+01
  3.75531E+01  1.19850E+02  1.12377E+01
  3.78022E+01  1.30334E+02  1.17080E+01
  3.80514E+01  1.14272E+02  1.09818E+01
  3.83006E+01  1.22802E+02  1.13748E+01
  3.85498E+01  1.23646E+02  1.14138E+01
  3.87990E+01  1.17077E+02  1.11151E+01
  3.90482E+01  1.37923E+02  1.20416E+01
  3.92973E+01  1.57003E+02  1.28313E+01
  3.95465E+01  1.21421E+02  1.13171E+01
  3.97957E+01  1.26965E+02  1.15673E+01
  4.00449E+01  1.27088E+02  1.15738E+01
  4.02941E+01  1.33322E+02  1.18487E+01
  4.05433E+01  1.26566E+02  1.15526E+01
  4.07924E+01  1.28561E+02  1.16422E+01
  4.10416E+01  1.17359E+02  1.11369E+01
  4.12908E+01  1.18797E+02  1.12042E+01
  4.15400E+01  1.10302E+02  1.08077E+01
  4.17892E+01  1.22380E+02  1.13696E+01
  4.20384E+01  1.25479E+02  1.15101E+01
  4.22875E+01  1.10740E+02  1.08314E+01
  4.25367E+01  1.06819E+02  1.06441E+01
  4.27859E+01  9.31810E+01  9.96286E+00
  4.30351E+01  1.12009E+02  1.08944E+01
  4.32843E+01  1.10611E+02  1.08290E+01
  4.35335E+01  9.82505E+01  1.02244E+01
  4.37826E+01  1.07215E+02  1.06680E+01
  4.40318E+01  1.04106E+02  1.05174E+01
  4.42810E+01  1.03283E+02  1.04780E+01
  4.45302E+01  9.89209E+01  1.02618E+01
  4.47794E+01  1.11749E+02  1.08888E+01
  4.50286E+01  1.01307E+02  1.03829E+01
  4.52777E+01  8.31447E+01  9.43752E+00
  4.55269E+01  8.36906E+01  9.46820E+00
  4.57761E+01  8.60754E+01  9.59817E+00
  4.60253E+01  9.34651E+01  9.98882E+00
  4.62745E+01  8.93659E+01  9.77536E+00
  4.65237E+01  7.35312E+01  8.89982E+00
  4.67728E+01  7.60694E+01  9.04681E+00
  4.70220E+01  6.94086E+01  8.65865E+00
  4.72712E+01  9.08022E+01  9.85440E+00
  4.75204E+01  7.52780E+01  9.00381E+00
  4.77696E+01  7.58208E+01  9.03571E+00
  4.80188E+01  7.82775E+01  9.17608E+00
  4.82679E+01  8.63114E+01  9.61923E+00
  4.85171E+01  8.19205E+01  9.38083E+00
  4.87663E+01  7.59534E+01  9.04645E+00
  4.90155E+01  8.13700E+01  9.35206E+00
  4.92647E+01  8.51440E+01  9.55956E+00
  4.95139E+01  7.99766E+01  9.27623E+00
  4.97630E+01  9.03949E+01  9.84165E+00
  5.00122E+01  9.85818E+01  1.02644E+01
  5.02614E+01  1.05558E+02  1.06117E+01
  5.05106E+01  9.55739E+01  1.01132E+01
  5.07598E+01  1.03698E+02  1.05223E+01
  5.10090E+01  1.10548E+02  1.08555E+01
  5.12581E+01  1.27917E+02  1.16566E+01
  5.15073E+01  1.18492E+02  1.12305E+01
  5.17565E+01  1.17560E+02  1.11884E+01
  5.20057E+01  1.20445E+02  1.13224E+01
  5.22549E+01  1.31645E+02  1.18256E+01
  5.25041E+01  1.42161E+02  1.22795E+01
  5.27532E+01  1.17471E+02  1.11882E+01
  5.30024E+01  1.14719E+02  1.10608E+01
  5.32516E+01  1.07627E+02  1.07235E+01
  5.35008E+01  1.08475E+02  1.07655E+01
  5.37500E+01  1.05576E+02  1.06256E+01
  5.39992E+01  1.04393E+02  1.05685E+01
  5.42483E+01  9.28376E+01  9.98510E+00
  5.44975E+01  8.73600E+01  9.69665E+00
  5.47467E+01  7.59078E+01  9.06271E+00
  5.49959E+01  7.57589E+01  9.05496E+00
  5.52451E+01  5.85671E+01  8.00770E+00
  5.54943E+01  6.13818E+01  8.18920E+00
  5.57434E+01  5.98318E+01  8.09080E+00
  5.59926E+01  5.29541E+01  7.63634E+00
  5.62418E+01  3.70912E+01  6.46621E+00
  5.64910E+01  3.40946E+01  6.22079E+00
  5.67402E+01  3.66026E+01  6.42780E+00
  5.69894E+01  2.31009E+01  5.22120E+00
  5.72385E+01  2.90911E+01  5.78843E+00
  5.74877E+01  2.94565E+01  5.82156E+00
  5.77369E+01  1.71609E+01  4.59175E+00
  5.79861E+01  1.01319E+01  3.70955E+00
  5.82353E+01  1.40425E+01  4.22367E+00
  5.84845E+01  1.59233E+01  4.45004E+00
  5.87336E+01  1.25221E+01  4.03221E+00
  5.89828E+01  5.56612E+00  3.00103E+00
  5.92320E+01  8.25941E+00  3.43752E+00
  5.94812E+01  1.16035E+01  3.91249E+00
  5.97304E+01  8.97777E+00  3.54535E+00
  5.99796E+01  8.18073E+00  3.42629E+00
  6.02287E+01  1.51072E+01  4.35567E+00
  6.04779E+01  6.17808E+00  3.10662E+00
  6.07271E+01  1.05205E+01  3.76662E+00
  6.09763E+01  8.62746E+00  3.49459E+00
  6.12255E+01  9.48621E+00  3.62091E+00
  6.14747E+01  7.88821E+00  3.38274E+00
  6.17238E+01  8.39344E+00  3.46013E+00
  6.19730E+01  7.74505E+00  3.36097E+00
