Date of conversion : 10/30/16,Time of conversion : 15:29:20 -07:00
Fit function for dominant peak from file "mono.res",asymmetry factor :  1.00
,detailed imbalance,Chi^2,peak,FWHM,position,%background,input file
  ,ok,   1.62,3.35E+03,  0.99,  -0.221,   2.01,   scan112.raw
  ,??,   1.48,3.01E+03,  0.92,  -4.540,   2.37,   scan115.raw
  ,ok,   1.20,1.59E+03,  1.00,   0.674,   2.64,   scan118.raw
  , ?,   3.39,1.60E+03,  1.03,   0.669,   2.36,   scan119.raw

PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),counts,error of counts
 8.45363E+00, 2.55243E+02, 1.60449E+01
 8.75267E+00, 2.46306E+02, 1.56203E+01
 9.05171E+00, 2.36505E+02, 1.53057E+01
 9.35074E+00, 2.33814E+02, 1.60546E+01
 9.64978E+00, 2.65797E+02, 1.64346E+01
 9.94882E+00, 2.60462E+02, 1.62364E+01
 1.02479E+01, 2.69924E+02, 1.67468E+01
 1.05469E+01, 2.84500E+02, 1.72790E+01
 1.08459E+01, 2.80046E+02, 1.64019E+01
 1.11450E+01, 2.70422E+02, 1.63716E+01
 1.14440E+01, 2.74172E+02, 1.74137E+01
 1.17431E+01, 2.93466E+02, 1.69303E+01
 1.20421E+01, 2.79680E+02, 1.68717E+01
 1.23411E+01, 2.65008E+02, 1.62449E+01
 1.26402E+01, 2.67332E+02, 1.66996E+01
 1.29392E+01, 2.80044E+02, 1.73816E+01
 1.32383E+01, 2.88626E+02, 1.65091E+01
 1.35373E+01, 2.88569E+02, 1.76841E+01
 1.38363E+01, 3.24560E+02, 1.84676E+01
 1.41354E+01, 3.10493E+02, 1.75432E+01
 1.44344E+01, 2.98701E+02, 1.75417E+01
 1.47334E+01, 3.19880E+02, 1.82076E+01
 1.50325E+01, 3.18899E+02, 1.83567E+01
 1.53315E+01, 3.26635E+02, 1.81000E+01
 1.56306E+01, 3.17410E+02, 1.79600E+01
 1.59296E+01, 3.42736E+02, 1.88180E+01
 1.62286E+01, 3.47481E+02, 1.90889E+01
 1.65277E+01, 3.43861E+02, 1.87940E+01
 1.68267E+01, 3.64735E+02, 1.93245E+01
 1.71258E+01, 3.74699E+02, 1.93485E+01
 1.74248E+01, 3.54257E+02, 1.90565E+01
 1.77238E+01, 3.92764E+02, 2.04844E+01
 1.80229E+01, 4.17607E+02, 2.05918E+01
 1.83219E+01, 4.11672E+02, 2.02920E+01
 1.86210E+01, 4.27996E+02, 2.10957E+01
 1.89200E+01, 4.87426E+02, 2.26629E+01
 1.92190E+01, 5.53929E+02, 2.39503E+01
 1.95181E+01, 5.50893E+02, 2.32882E+01
 1.98171E+01, 5.05609E+02, 2.21763E+01
 2.01161E+01, 4.95840E+02, 2.28222E+01
 2.04152E+01, 5.56012E+02, 2.42314E+01
 2.07142E+01, 5.71933E+02, 2.38116E+01
 2.10133E+01, 5.55102E+02, 2.38360E+01
 2.13123E+01, 5.57581E+02, 2.37177E+01
 2.16113E+01, 5.52293E+02, 2.37304E+01
 2.19104E+01, 5.61001E+02, 2.42260E+01
 2.22094E+01, 5.89893E+02, 2.46353E+01
 2.25085E+01, 5.65609E+02, 2.39081E+01
 2.28075E+01, 5.51676E+02, 2.37681E+01
 2.31065E+01, 5.74320E+02, 2.42185E+01
 2.34056E+01, 5.65088E+02, 2.38135E+01
 2.37046E+01, 5.18046E+02, 2.28146E+01
 2.40037E+01, 4.90741E+02, 2.23848E+01
 2.43027E+01, 4.61255E+02, 2.15357E+01
 2.46017E+01, 4.33537E+02, 2.09216E+01
 2.49008E+01, 4.39569E+02, 2.11738E+01
 2.51998E+01, 4.39173E+02, 2.11133E+01
 2.54989E+01, 4.37242E+02, 2.08829E+01
 2.57979E+01, 4.39643E+02, 2.14677E+01
 2.60969E+01, 4.64562E+02, 2.16908E+01
 2.63960E+01, 4.67833E+02, 2.18541E+01
 2.66950E+01, 4.41993E+02, 2.10034E+01
 2.69940E+01, 4.40012E+02, 2.12989E+01
 2.72931E+01, 4.53693E+02, 2.14175E+01
 2.75921E+01, 4.30315E+02, 2.07363E+01
 2.78912E+01, 4.23770E+02, 2.07445E+01
 2.81902E+01, 4.34159E+02, 2.12387E+01
 2.84892E+01, 4.14157E+02, 2.01517E+01
 2.87883E+01, 3.78264E+02, 1.92688E+01
 2.90873E+01, 3.67291E+02, 1.95825E+01
 2.93864E+01, 3.68265E+02, 1.93321E+01
