PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),shifted spectra
 4.94220E+01, 1.41553E+01
 4.97210E+01, 9.23287E+00
 5.00201E+01, 8.39361E+00
 5.03191E+01, 7.81107E+00
 5.06181E+01, 4.77533E+00
 5.09172E+01, 5.01134E+00
 5.12162E+01, 8.02697E+00
 5.15152E+01, 8.62719E+00
 5.18143E+01, 7.69038E+00
 5.21133E+01, 1.01012E+01
 5.24124E+01, 1.05087E+01
 5.27114E+01, 6.54321E+00
 5.30104E+01, 8.19835E+00
 5.33095E+01, 1.10942E+01
 5.36085E+01, 8.33677E+00
 5.39076E+01, 4.96818E+00
 5.42066E+01, 3.51970E+00
 5.45056E+01, 2.39672E+00
 5.48047E+01, 2.21907E+00
 5.51037E+01, 8.28894E+00
 5.54028E+01, 1.02568E+01
 5.57018E+01, 5.79272E+00
 5.60008E+01, 7.41918E+00
 5.62999E+01, 5.69872E+00
 5.65989E+01, 7.25924E+00
 5.68980E+01, 8.47110E+00
 5.71970E+01, 6.06101E+00
 5.74960E+01, 4.72526E+00
 5.77951E+01, 5.88400E+00
 5.80941E+01, 6.27706E+00
 5.83931E+01, 5.09629E+00
 5.86922E+01, 7.47596E+00
 5.89912E+01, 7.67956E+00
 5.92903E+01, 4.35276E+00
 5.95893E+01, 4.36876E+00
 5.98883E+01, 4.73182E+00
 6.01874E+01, 3.57034E+00
 6.04864E+01, 2.69914E+00
 6.07855E+01, 4.66629E+00
 6.10845E+01, 7.86996E+00
 6.13835E+01, 6.69014E+00
 6.16826E+01, 4.93766E+00
 6.19816E+01, 3.88691E+00
 6.22807E+01, 4.78894E+00
 6.25797E+01, 5.01048E+00
 6.28787E+01, 3.40243E+00
 6.31778E+01, 6.12043E+00
 6.34768E+01, 2.62962E+00
 6.37758E+01, 1.38297E+00
 6.40749E+01, 3.90789E+00
 6.43739E+01, 2.60095E+00
 6.46730E+01, 1.44664E+00
 6.49720E+01, 1.56323E+00
 6.52710E+01, 3.94569E+00
 6.55701E+01, 4.45919E+00
